rate_id,price_unit_id,rate_price
716,539,null
107,806,null
137,98,null
454,713,null
334,193,null
62,822,null
429,477,null
691,359,null
410,904,null
824,741,null
858,484,null
75,400,null
785,358,null
68,731,null
696,690,null
513,455,null
616,416,null
409,898,null
964,965,null
946,405,null
945,929,null
930,843,null
99,772,null
221,395,null
529,838,null
580,387,null
895,371,null
872,829,null
722,197,null
793,194,null
957,598,null
989,129,null
72,176,null
991,614,null
802,335,null
847,256,null
465,705,null
724,149,null
293,445,null
326,242,null
524,80,null
776,815,null
428,297,null
712,202,null
340,44,null
237,701,null
980,55,null
497,668,null
47,270,null
649,119,null
762,409,null
532,391,null
308,768,null
997,536,null
514,367,null
325,148,null
77,950,null
81,502,null
577,200,null
938,286,null
563,877,null
649,179,null
957,48,null
717,173,null
631,769,null
447,523,null
233,769,null
511,390,null
806,367,null
20,745,null
943,645,null
304,63,null
57,438,null
771,982,null
478,950,null
407,1,null
330,853,null
460,890,null
978,183,null
356,253,null
504,538,null
766,746,null
583,784,null
982,520,null
54,337,null
330,353,null
269,242,null
349,656,null
862,107,null
472,747,null
29,283,null
598,206,null
28,755,null
526,171,null
456,826,null
156,490,null
69,288,null
541,562,null
759,641,null
422,217,null
508,946,null
277,338,null
991,376,null
913,355,null
995,97,null
543,614,null
850,157,null
22,719,null
822,530,null
38,416,null
608,977,null
602,373,null
869,813,null
608,764,null
985,92,null
718,452,null
516,568,null
731,662,null
212,952,null
716,790,null
340,415,null
868,909,null
567,24,null
590,90,null
317,597,null
752,878,null
44,235,null
430,64,null
756,266,null
905,223,null
500,879,null
440,45,null
278,344,null
105,48,null
677,116,null
977,194,null
888,959,null
98,40,null
475,469,null
703,629,null
355,675,null
132,870,null
592,507,null
777,17,null
228,396,null
303,896,null
831,244,null
636,996,null
210,526,null
969,252,null
338,520,null
750,691,null
87,577,null
165,909,null
425,290,null
922,32,null
997,656,null
682,996,null
733,98,null
103,556,null
776,145,null
88,715,null
967,458,null
549,40,null
534,185,null
179,585,null
281,149,null
162,799,null
572,299,null
665,804,null
590,948,null
332,25,null
947,150,null
506,706,null
216,268,null
794,342,null
347,920,null
614,402,null
81,641,null
775,562,null
502,693,null
739,464,null
425,35,null
524,254,null
606,912,null
491,856,null
259,671,null
49,174,null
960,849,null
465,465,null
232,663,null
600,222,null
697,267,null
245,986,null
929,633,null
373,262,null
171,597,null
892,928,null
177,958,null
580,244,null
78,254,null
396,458,null
211,158,null
795,78,null
983,672,null
460,742,null
125,679,null
116,144,null
345,763,null
21,735,null
164,627,null
898,17,null
610,826,null
273,339,null
103,984,null
305,79,null
99,706,null
496,38,null
287,660,null
508,507,null
614,859,null
198,660,null
524,307,null
398,662,null
744,873,null
320,983,null
226,173,null
866,100,null
68,909,null
612,790,null
179,881,null
307,119,null
569,884,null
597,646,null
354,909,null
985,329,null
275,155,null
205,802,null
542,598,null
91,920,null
846,793,null
453,238,null
477,916,null
868,798,null
65,675,null
963,267,null
44,17,null
624,279,null
583,235,null
210,891,null
740,75,null
587,66,null
840,155,null
298,578,null
987,779,null
256,872,null
109,740,null
329,518,null
453,255,null
222,526,null
718,11,null
847,265,null
182,538,null
506,801,null
208,295,null
894,697,null
465,881,null
377,861,null
784,359,null
515,290,null
129,250,null
268,493,null
133,677,null
611,72,null
718,464,null
877,150,null
735,822,null
